id,title,description,link,image_link,price,availability
PIN-101,Stripes & Birds African Print Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/machine wash.
African print.
Black on reverse side.
Black adjustable elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/stripes-and-birds-african-print-face-mask/2?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/pLVd0TsN/DSC-0574.jpg,13USD,in stock
PIN-201,Guinea Fowl African Print Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/machine wash.
African print.
Black on reverse side.
Black adjustable elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/guinea-fowl-african-print-face-mask/1?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/pr6tqWrv/DSC-0572.jpg,13USD,in stock
PIN-301,Mixed Bag African Print Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/machine wash.
African print.
Black on reverse side.
Black elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/mixed-bag-african-print-face-mask/4?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/rpD0FLth/DSC-0582.jpg,13USD,in stock
PIN-401,Fig Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/Machine wash cold.
Fig cotton print.
Floral print on reverse side.
White adjustable elastic bands around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/fig-print-face-mask/6?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/637sTsz1/DSC-0583.jpg,13USD,in stock
PIN-501,Spotted Pink Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/Machine wash cold.
Spotted pink cotton print.
Floral print on reverse side.
White adjustable elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/spotted-pink-face-mask/7?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/h49ysPJ1/DSC-0567.jpg,13USD,out of stock
PIN-601,Palm Tree Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/Machine wash cold.
Palm Tree cotton print.
Grayish white cotton material on reverse side.
White adjustable elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/palm-tree-face-mask/5?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/m2pp0LLh/DSC-0634.jpg,13USD,in stock
PIN-701,Lion King Face Mask,"Kids and adult sizes available.
Carefully crafted face masks made to order.
Please allow 1-3 days for production.
Pattern placement may differ from images.
Hand/machine wash.
Lion King cotton print.
Black cotton material on reverse side.
Black adjustable elastic band around each ear (not seen in product images).

RETURN AND REFUND POLICY
All sales on masks are nonrefundable and cannot be returned.",https://www.peepthevisualsshop.com/product/lion-king-face-mask/8?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/8Px7CDHx/DSC-0636.jpg,13USD,in stock
PIN-801,African Paper Beaded Bracelet,"Made in East Africa; Color choices: pink, blue, brown; Each piece uniquely crafted; Made of recycled paper; Elastic bracelet",https://www.peepthevisualsshop.com/product/african-paper-beaded-bracelet/10?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/SKgqJf4j/DSC-0006.jpg,10USD,in stock
PIN-901,Sea Green African Paper Beaded Bracelet,Made in East Africa; Each piece uniquely crafted; Made of recycled paper; Green and gold beading; Elastic bracelet,https://www.peepthevisualsshop.com/product/sea-green-african-paper-beaded-bracelet/32?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/gjVGkF2b/DSC-1189.jpg,10USD,in stock
PIN-1001,Multi-Colored Paper Beaded Bracelet,Made in East Africa; Each piece uniquely crafted; Made of recycled paper; Made of recycled paper; Multi-colored beading; Elastic bracelet ,https://www.peepthevisualsshop.com/product/multi-colored-african-paper-beaded-bracelet/23?cp=true&sa=true&sbp=false&q=false,https://i.postimg.cc/508h85dw/DSC-0444.jpg,10USD,in stock
